Brand Name,Website,Country,Category,Price Tier,API/Affiliate Available,Integration Type,Priority,Source
Nordstrom,nordstrom.com,US,Department Store,Mid-Luxury,Yes,Affiliate,Critical,Existing
Nordstrom Rack,nordstromrack.com,US,Department Store,Mid,Yes,Affiliate,Critical,Existing
Bloomingdale's,bloomingdales.com,US,Department Store,Mid-Luxury,Yes,Affiliate,Critical,LTK
Macy's,macys.com,US,Department Store,Mid,Yes,Affiliate,Critical,Existing
Neiman Marcus,neimanmarcus.com,US,Department Store,Luxury,Yes,Affiliate,High,LTK
Saks Fifth Avenue,saksfifthavenue.com,US,Department Store,Luxury,Yes,Affiliate,High,Existing
Bergdorf Goodman,bergdorfgoodman.com,US,Department Store,Luxury,Yes,Affiliate,High,LTK
Dillard's,dillards.com,US,Department Store,Mid,Yes,Affiliate,Medium,LTK
Belk,belk.com,US,Department Store,Mid,Yes,Affiliate,Medium,LTK
Von Maur,vonmaur.com,US,Department Store,Mid,Yes,Affiliate,Low,LTK
Target,target.com,US,Mass Market,Budget,Yes,API,Critical,Existing
Walmart,walmart.com,US,Mass Market,Budget,Yes,API,Critical,Existing
Amazon Fashion,amazon.com,US,Marketplace,All,Yes,API,Critical,Existing
Old Navy,oldnavy.com,US,Fast Fashion,Budget,Yes,Affiliate,Critical,Existing
Gap,gap.com,US,Fast Fashion,Mid,Yes,Affiliate,Critical,Existing
Banana Republic,bananarepublic.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK
Zara,zara.com,Spain,Fast Fashion,Mid,Yes,Affiliate,Critical,Existing
H&M,hm.com,Sweden,Fast Fashion,Budget,Yes,Affiliate,Critical,Existing
Uniqlo,uniqlo.com,Japan,Fast Fashion,Budget,Yes,Affiliate,High,LTK
Mango,mango.com,Spain,Fast Fashion,Mid,Yes,Affiliate,High,Competitor
COS,cosstores.com,Sweden,Contemporary,Mid,Yes,Affiliate,High,Competitor
& Other Stories,stories.com,Sweden,Contemporary,Mid,Yes,Affiliate,High,Competitor
Monki,monki.com,Sweden,Fast Fashion,Budget,Yes,Affiliate,Medium,Competitor
Weekday,weekday.com,Sweden,Fast Fashion,Budget,Yes,Affiliate,Medium,Competitor
ASOS,asos.com,UK,Fast Fashion,Budget-Mid,Yes,Affiliate,Critical,Existing
Boohoo,boohoo.com,UK,Fast Fashion,Budget,Yes,Affiliate,High,Competitor
PrettyLittleThing,prettylittlething.com,UK,Fast Fashion,Budget,Yes,Affiliate,High,Competitor
Missguided,missguided.com,UK,Fast Fashion,Budget,Yes,Affiliate,High,Competitor
Nasty Gal,nastygal.com,US,Fast Fashion,Mid,Yes,Affiliate,High,Competitor
Forever 21,forever21.com,US,Fast Fashion,Budget,Yes,Affiliate,High,Existing
Fashion Nova,fashionnova.com,US,Fast Fashion,Budget,Yes,Affiliate,High,LTK
SHEIN,shein.com,China,Fast Fashion,Budget,Yes,Affiliate,Critical,Existing
Romwe,romwe.com,China,Fast Fashion,Budget,Yes,Affiliate,Medium,LTK
Zaful,zaful.com,China,Fast Fashion,Budget,Yes,Affiliate,Medium,LTK
Cider,shopcider.com,China,Fast Fashion,Budget,No,Manual,Medium,Existing
Princess Polly,princesspolly.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor
Peppermayo,peppermayo.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor
Showpo,showpo.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor
White Fox Boutique,whitefoxboutique.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,Competitor
Beginning Boutique,beginningboutique.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,Competitor
Sabo Skirt,saboskirt.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,Competitor
Tiger Mist,tigermist.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,ShopMy
Revolve,revolve.com,US,Contemporary,Mid-Luxury,Yes,Affiliate,Critical,Existing
FWRD,fwrd.com,US,Contemporary,Luxury,Yes,Affiliate,High,Competitor
Shopbop,shopbop.com,US,Contemporary,Mid-Luxury,Yes,Affiliate,High,LTK
Net-a-Porter,net-a-porter.com,UK,Luxury,Luxury,Yes,Affiliate,High,LTK
Mytheresa,mytheresa.com,Germany,Luxury,Luxury,Yes,Affiliate,High,LTK
Farfetch,farfetch.com,UK,Luxury,Luxury,Yes,Affiliate,High,LTK
SSENSE,ssense.com,Canada,Luxury,Luxury,Yes,Affiliate,High,LTK
Matches Fashion,matchesfashion.com,UK,Luxury,Luxury,Yes,Affiliate,High,LTK
24S,24s.com,France,Luxury,Luxury,Yes,Affiliate,Medium,Competitor
Luisaviaroma,luisaviaroma.com,Italy,Luxury,Luxury,Yes,Affiliate,Medium,Competitor
Anthropologie,anthropologie.com,US,Contemporary,Mid-High,Yes,Affiliate,High,LTK
Free People,freepeople.com,US,Contemporary,Mid-High,Yes,Affiliate,Critical,Existing
Urban Outfitters,urbanoutfitters.com,US,Contemporary,Mid,Yes,Affiliate,High,Existing
Madewell,madewell.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK
J.Crew,jcrew.com,US,Contemporary,Mid,Yes,Affiliate,High,LTK
J.Crew Factory,factory.jcrew.com,US,Contemporary,Mid,Yes,Affiliate,Medium,LTK
Everlane,everlane.com,US,Contemporary,Mid,Yes,Affiliate,High,Competitor
Reformation,thereformation.com,US,Contemporary,Mid-High,Yes,Affiliate,Critical,Competitor
Ganni,ganni.com,Denmark,Designer,High,Yes,Affiliate,Critical,Competitor
Staud,staud.clothing,US,Designer,High,Yes,Affiliate,Critical,Competitor
Nanushka,nanushka.com,Hungary,Designer,High,Yes,Affiliate,High,Competitor
Réalisation Par,realisationpar.com,Australia,Designer,Mid-High,Yes,Affiliate,High,Competitor
Rixo,rixo.co.uk,UK,Designer,Mid-High,Yes,Affiliate,High,Competitor
Rotate Birger Christensen,rotatebirgerchristensen.com,Denmark,Designer,High,Yes,Affiliate,High,Competitor
Jacquemus,jacquemus.com,France,Designer,Luxury,Limited,Manual,High,Competitor
Ami Paris,amiparis.com,France,Designer,Luxury,Limited,Manual,Medium,Competitor
Acne Studios,acnestudios.com,Sweden,Designer,Luxury,Yes,Affiliate,High,Competitor
Lemaire,lemaire.fr,France,Designer,Luxury,Limited,Manual,Medium,Competitor
The Row,therow.com,US,Designer,Ultra-Luxury,No,Manual,Low,Competitor
Toteme,toteme-studio.com,Sweden,Designer,High,Yes,Affiliate,High,Competitor
Khaite,khaite.com,US,Designer,Luxury,Limited,Manual,Medium,Competitor
Theory,theory.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Vince,vince.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Rag & Bone,rag-bone.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Equipment,equipment.fr,France,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Frame,frame-store.com,US,Contemporary,High,Yes,Affiliate,High,Phia
Paige,paige.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Veronica Beard,veronicabeard.com,US,Contemporary,High,Yes,Affiliate,High,Phia
L'Agence,lagencefashion.com,US,Contemporary,High,Yes,Affiliate,High,Phia
Alice + Olivia,aliceandolivia.com,US,Designer,High,Yes,Affiliate,High,Phia
Tory Burch,toryburch.com,US,Designer,High,Yes,Affiliate,High,LTK
Club Monaco,clubmonaco.com,Canada,Contemporary,Mid,Yes,Affiliate,High,Phia
Sandro,sandro-paris.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Maje,maje.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Claudie Pierlot,claudiepierlot.com,France,Contemporary,Mid-High,Yes,Affiliate,Medium,Phia
Ba&sh,ba-sh.com,France,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
The Kooples,thekooples.com,France,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor
Reiss,reiss.com,UK,Contemporary,Mid-High,Yes,Affiliate,High,Phia
AllSaints,allsaints.com,UK,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Ted Baker,tedbaker.com,UK,Contemporary,Mid-High,Yes,Affiliate,High,Phia
Karen Millen,karenmillen.com,UK,Contemporary,Mid,Yes,Affiliate,Medium,LTK
Whistles,whistles.com,UK,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
Lululemon,lululemon.com,Canada,Activewear,High,Yes,Affiliate,Critical,LTK
Athleta,athleta.com,US,Activewear,Mid-High,Yes,Affiliate,High,LTK
Alo Yoga,aloyoga.com,US,Activewear,High,Yes,Affiliate,High,LTK
Outdoor Voices,outdoorvoices.com,US,Activewear,Mid-High,Yes,Affiliate,High,LTK
Girlfriend Collective,girlfriend.com,Canada,Activewear,Mid,Yes,Affiliate,High,Competitor
Nike,nike.com,US,Activewear,Mid,Yes,Affiliate,Critical,LTK
Adidas,adidas.com,Germany,Activewear,Mid,Yes,Affiliate,Critical,LTK
Puma,puma.com,Germany,Activewear,Mid,Yes,Affiliate,High,LTK
Reebok,reebok.com,US,Activewear,Mid,Yes,Affiliate,High,LTK
Under Armour,underarmour.com,US,Activewear,Mid,Yes,Affiliate,High,LTK
Gymshark,gymshark.com,UK,Activewear,Mid,Yes,Affiliate,High,LTK
Fabletics,fabletics.com,US,Activewear,Budget-Mid,Yes,Affiliate,High,LTK
Carbon38,carbon38.com,US,Activewear,Mid-High,Yes,Affiliate,Medium,LTK
Bandier,bandier.com,US,Activewear,High,Yes,Affiliate,Medium,LTK
P.E Nation,pe-nation.com,Australia,Activewear,High,Yes,Affiliate,Medium,Competitor
Set Active,setactive.co,US,Activewear,Mid,Yes,Affiliate,Medium,Competitor
Alo,aloyoga.com,US,Activewear,High,Yes,Affiliate,High,LTK
Beyond Yoga,beyondyoga.com,US,Activewear,Mid,Yes,Affiliate,Medium,LTK
Spiritual Gangster,spiritualgangster.com,US,Activewear,Mid,Yes,Affiliate,Low,LTK
Varley,varley.com,UK,Activewear,High,Yes,Affiliate,Medium,Competitor
Live The Process,livetheprocess.com,US,Activewear,High,Yes,Affiliate,Low,Competitor
Levi's,levis.com,US,Denim,Mid,Yes,Affiliate,Critical,LTK
AG Jeans,agjeans.com,US,Denim,High,Yes,Affiliate,High,LTK
Mother Denim,motherdenim.com,US,Denim,High,Yes,Affiliate,High,LTK
Good American,goodamerican.com,US,Denim,Mid-High,Yes,Affiliate,High,LTK
Agolde,agolde.com,US,Denim,High,Yes,Affiliate,High,LTK
Citizens of Humanity,citizensofhumanity.com,US,Denim,High,Yes,Affiliate,High,LTK
7 For All Mankind,7forallmankind.com,US,Denim,High,Yes,Affiliate,High,LTK
Joe's Jeans,joesjeans.com,US,Denim,Mid-High,Yes,Affiliate,Medium,LTK
DL1961,dl1961.com,US,Denim,Mid-High,Yes,Affiliate,Medium,LTK
RE/DONE,redone.com,US,Denim,High,Yes,Affiliate,High,Competitor
