Brand Name,Website,Logo Status,Logo Path,Message
Nordstrom,nordstrom.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Nordstrom Rack,nordstromrack.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Bloomingdale's,bloomingdales.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Macy's,macys.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Neiman Marcus,neimanmarcus.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Saks Fifth Avenue,saksfifthavenue.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Bergdorf Goodman,bergdorfgoodman.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Dillard's,dillards.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Belk,belk.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Von Maur,vonmaur.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Target,target.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Walmart,walmart.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Amazon Fashion,amazon.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Old Navy,oldnavy.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Gap,gap.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Banana Republic,bananarepublic.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Zara,zara.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
H&M,hm.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Uniqlo,uniqlo.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mango,mango.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
COS,cosstores.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
& Other Stories,stories.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Monki,monki.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Weekday,weekday.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
ASOS,asos.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Boohoo,boohoo.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
