brand,category_focus,region,primary_retailers,marketplaces,priority_score,notes,retailers_with_public_api,retailers_need_alt_access,distribution_status,distribution_evidence_source,deprioritized_reason
Alexander McQueen,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Alexander Wang,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Altuzarra,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Amina Muaddi,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Anine Bing,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Balenciaga,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Balmain,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Bottega Veneta,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Brunello Cucinelli,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Burberry,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Celine,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
Chloe,"dresses,tops",US/Canada,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,,75,"Verify distribution, variants, and marketplace presence",,Saks;Neiman Marcus;Net-a-Porter;Mytheresa,unverified,,
