product_id,product_name,brand_name,current_price,image_url,product_url,average_rating,review_count,is_in_stock,first_seen_at,last_seen_at
skims-stretch-cotton-rib-tank-regular-plus,SKIMS Stretch Cotton Rib Tank (Regular & Plus),$14.99 – $38,14.99,https://n.nordstrommedia.com/it/4f7fe4e1-8ece-47c5-aafd-3ec8410a1a1d.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/skims-stretch-cotton-rib-tank-regular-plus/5547436?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=684,,0,t,2026-02-11 17:55:25.946097,2026-02-11 17:58:05.058722
caslon-ruffle-detail-top,Caslon® Ruffle Detail Top,$23.70 – $27.65,23.70,https://n.nordstrommedia.com/it/1898cd78-fa94-4a5d-9cac-c1167f3a3901.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/caslon-ruffle-detail-top/7913905?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=601,,0,t,2026-02-11 17:55:25.962697,2026-02-11 17:59:46.690101
caslon-ruffle-detail-knit-top-plus,Caslon® Ruffle Detail Knit Top (Plus),$29.99 – $33.37,29.99,https://n.nordstrommedia.com/it/303f1e2a-2b5d-47cf-8291-e6a6541c92b1.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/caslon-ruffle-detail-knit-top-plus/7955198?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,,0,t,2026-02-11 17:55:26.01531,2026-02-11 17:59:46.7295
everyday-v-neck-pima-cotton-blend-t-shirt,Nordstrom Everyday V-Neck Pima Cotton Blend T-Shirt,$35,35.00,https://n.nordstrommedia.com/it/3a17388b-09f9-4c96-98cc-9960e4fe69ad.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/everyday-v-neck-pima-cotton-blend-t-shirt/7477837?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=100,,0,t,2026-02-11 17:55:25.976285,2026-02-11 17:55:25.976285
everyday-cotton-rib-tank,Nordstrom Everyday Cotton Rib Tank,$35,35.00,https://n.nordstrommedia.com/it/b1c76fe5-39fa-45d4-a6b4-93c4083756f1.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/everyday-cotton-rib-tank/7708954?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=100,,0,t,2026-02-11 17:55:25.966833,2026-02-11 17:55:25.966833
halogen-charmeuse-top,Halogen® Charmeuse Top,$36.75,36.75,https://n.nordstrommedia.com/it/f6685b5a-8314-42c5-90bb-80c706be2d66.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/halogen-charmeuse-top/8407307?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=457,,0,t,2026-02-11 17:55:26.005188,2026-02-11 17:55:26.005188
rib-henley,Caslon® Rib Henley,$39.50,39.50,https://n.nordstrommedia.com/it/3ec53002-1337-4943-975e-5c23f5de99ac.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/rib-henley/8467348?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=401,,0,t,2026-02-11 17:55:25.967936,2026-02-11 17:58:05.069157
v-neck-top,Vince Camuto V-Neck Top,$39.53,39.53,https://n.nordstrommedia.com/it/ccf5f56a-87ce-4946-bd4d-459494403d6e.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/v-neck-top/8154625?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=722,,0,t,2026-02-11 17:55:26.02328,2026-02-11 17:55:26.02328
blouson-sleeve-waffle-knit-top,Treasure & Bond Blouson Sleeve Waffle Knit Top,$41.65 – $44.62,41.65,https://n.nordstrommedia.com/it/90109074-8839-4c68-ac0e-a720fbf23164.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/blouson-sleeve-waffle-knit-top/8412290?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=001,,0,t,2026-02-11 17:55:26.027059,2026-02-11 17:55:26.027059
sequin-t-shirt,Lucky Brand Sequin T-Shirt,$41.70,41.70,https://n.nordstrommedia.com/it/e467ba4a-e067-4f7b-98c8-9244c36f0fe3.jpeg?h=368&w=240&dpr=2,https://www.nordstrom.com/s/sequin-t-shirt/8697144?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FTops&color=670,,0,t,2026-02-11 17:55:26.014538,2026-02-11 17:55:26.014538
