instagram_handle,creator_name,region_focus,source_countries,followers,engagement_avg,engagement_rate,composite_score,ltk_shopmy_signal,source_urls,ltk_signal,shopmy_signal,signal_source,signal_last_checked,creator_type,style_archetype,price_tier,category_focus,audience_life_stage,commerce_readiness_score,influence_score,matchability_score,audience_fit_score,final_score,scoring_notes,scored_on
kyliejenner,Kylie,US/CA+Asia,Canada;India;United States,391600000,2500000,0.006384,0.704167,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/;https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-united-states/;https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,No (Public Bio),No (Public Bio),Socialveins bio,2026-02-03,celebrity,glam,luxury,mixed,luxury,0,70.42,15,0,85.42,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
arianagrande,Ariana Grande,US/CA,United States,380000000,1710000,0.004500,0.682201,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,68.22,15,0,83.22,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kimkardashian,Kim Kardashian,US/CA+Asia,Canada;India;United States,353800000,1415200,0.004000,0.635039,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/;https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-united-states/;https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,No (Public Bio),No (Public Bio),Socialveins bio,2026-02-03,celebrity,glam,luxury,mixed,luxury,0,63.50,15,0,78.50,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
khloekardashian,Khloe Kardashian,US/CA,United States,307000000,614000,0.002000,0.550074,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,55.01,15,0,70.01,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
justinbieber,Justin Bieber,US/CA,United States,294400000,765440,0.002600,0.527942,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,52.79,15,0,67.79,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kendalljenner,Kendall,US/CA+Asia,Canada;India;United States,284800000,1737280,0.006100,0.513065,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/;https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-united-states/;https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,No (Public Bio),No (Public Bio),Socialveins bio,2026-02-03,celebrity,glam,luxury,mixed,luxury,0,51.31,15,0,66.31,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
jlo,Jennifer Lopez,US/CA,United States,249000000,348600,0.001400,0.446001,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,44.60,15,0,59.60,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kourtneykardash,Kourtney Kardashian,US/CA,United States,224100000,493020,0.002200,0.402012,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,40.20,15,0,55.20,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
mileycyrus,Miley Cyrus,US/CA,United States,215000000,365500,0.001700,0.385418,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,38.54,15,0,53.54,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
zendaya,Zendaya,US/CA,United States,186200000,1470980,0.007900,0.337982,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,33.80,15,0,48.80,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
iamcardib,Cardi B,US/CA+Asia,Canada;India;United States,164300000,2086610,0.012700,0.301966,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/;https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-united-states/;https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,30.20,15,0,45.20,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
rubykeyvani,Ruby Keyvani,US/CA,United States,130600,60024,0.459602,0.300206,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-diego-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,30.02,5,0,35.02,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
ddlovato,Demi Lovato,US/CA,United States,152600000,274680,0.001800,0.273936,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,27.39,15,0,42.39,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
thearielpryor,Ariel Pryor,US/CA,United States,715900,233169,0.325701,0.213850,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,21.39,5,0,26.39,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
connorstorrieofficial,Connor Storrie,US/CA,United States,2500000,762500,0.305000,0.203527,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,20.35,5,0,25.35,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
apdhillon,AP DHILLON,US/CA,Canada,5400000,1434780,0.265700,0.183058,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,18.31,5,0,23.31,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
ishowspeed,IShowSpeed,US/CA,United States,42700000,6755140,0.158200,0.179567,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,17.96,15,0,32.96,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
priyankachopra,Priyanka,US/CA,United States,94000000,846000,0.009000,0.173882,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,17.39,15,0,32.39,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
daniela_avanzini,daniela avanzini,US/CA,United States,4800000,1157280,0.241100,0.165928,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,16.59,5,0,21.59,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
gabriellealayah,GIGI,US/CA,United States,454200,112233,0.247100,0.162076,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,publisher,classic,mid,mixed,aspirational,0,16.21,15,0,31.21,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
gabriellelayah,GIGI,US/CA,United States,454200,112233,0.247100,0.162076,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-houston-fashion-instagram,Unknown,Unknown,Not Scanned,,publisher,classic,mid,mixed,aspirational,0,16.21,15,0,31.21,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
davidbeckham,David Beckham,US/CA,United States,87900000,509820,0.005800,0.160889,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,16.09,15,0,31.09,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
dualipa,Dua Lipa,US/CA,United States,87400000,323380,0.003700,0.158625,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,15.86,15,0,30.86,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
gigilhadid,Gigi Hadid,US/CA,United States,79500000,421350,0.005300,0.145547,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,14.55,15,0,29.55,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
georginagio,Georgina Rodriguez,US/CA+Asia,India;United States,72100000,1700000,0.023578,0.144249,Unknown,https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-united-states/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,14.42,15,0,29.42,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sarawais,Sara Waisglass,US/CA,Canada,2600000,491920,0.189200,0.128118,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,12.81,5,0,17.81,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
hannahkae27,Hannah Kim,US/CA,Canada,1200000,230880,0.192400,0.127705,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,12.77,5,0,17.77,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sadiesink_,Sadie Sink,US/CA,United States,31200000,3307200,0.106000,0.124936,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,12.49,15,0,27.49,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
